,treatment,animal,val_accuracy,test_accuracy,prop_reward_pred_val,prop_reward_pred_test,prop_reward,prop_reward_test,Session_trial,Reward,Prop_pred_reward_trial
8,Control,M3,0.6635897435897437,0.3995726495726496,0.9391025641025641,0.7521367521367521,0.7083333333333334,0.5833333333333334,9_6,1.0,0.6666666666666666
9,Control,M3,0.6635897435897437,0.3995726495726496,0.9391025641025641,0.7521367521367521,0.7083333333333334,0.5833333333333334,9_7,1.0,0.8974358974358975
10,Control,M3,0.6635897435897437,0.3995726495726496,0.9391025641025641,0.7521367521367521,0.7083333333333334,0.5833333333333334,9_8,0.0,0.8974358974358975
11,Control,M3,0.6635897435897437,0.3995726495726496,0.9391025641025641,0.7521367521367521,0.7083333333333334,0.5833333333333334,9_9,1.0,1.0
0,Idazoxan,4,0.8399999999999999,0.5833333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,9_1,0.0,1.0
1,Idazoxan,4,0.8399999999999999,0.5833333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,9_10,1.0,1.0
2,Idazoxan,4,0.8399999999999999,0.5833333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,9_11,1.0,1.0
3,Idazoxan,4,0.8399999999999999,0.5833333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,9_12,0.0,1.0
4,Idazoxan,4,0.8399999999999999,0.5833333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,9_2,1.0,1.0
5,Idazoxan,4,0.8399999999999999,0.5833333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,9_3,0.0,1.0
6,Idazoxan,4,0.8399999999999999,0.5833333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,9_4,1.0,1.0
7,Idazoxan,4,0.8399999999999999,0.5833333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,9_5,0.0,1.0
8,Idazoxan,4,0.8399999999999999,0.5833333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,9_6,1.0,1.0
9,Idazoxan,4,0.8399999999999999,0.5833333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,9_7,1.0,1.0
10,Idazoxan,4,0.8399999999999999,0.5833333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,9_8,0.0,1.0
11,Idazoxan,4,0.8399999999999999,0.5833333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5833333333333334,9_9,1.0,1.0
0,Idazoxan,80,0.7661538461538463,0.344017094017094,0.8899572649572649,0.5491452991452992,0.75,0.5,9_1,1.0,0.0
1,Idazoxan,80,0.7661538461538463,0.344017094017094,0.8899572649572649,0.5491452991452992,0.75,0.5,9_10,0.0,1.0
2,Idazoxan,80,0.7661538461538463,0.344017094017094,0.8899572649572649,0.5491452991452992,0.75,0.5,9_11,0.0,0.6410256410256411
3,Idazoxan,80,0.7661538461538463,0.344017094017094,0.8899572649572649,0.5491452991452992,0.75,0.5,9_12,1.0,0.5128205128205128
4,Idazoxan,80,0.7661538461538463,0.344017094017094,0.8899572649572649,0.5491452991452992,0.75,0.5,9_2,0.0,0.5128205128205128
5,Idazoxan,80,0.7661538461538463,0.344017094017094,0.8899572649572649,0.5491452991452992,0.75,0.5,9_3,1.0,0.10256410256410256
6,Idazoxan,80,0.7661538461538463,0.344017094017094,0.8899572649572649,0.5491452991452992,0.75,0.5,9_4,0.0,0.48717948717948717
7,Idazoxan,80,0.7661538461538463,0.344017094017094,0.8899572649572649,0.5491452991452992,0.75,0.5,9_5,1.0,0.0
8,Idazoxan,80,0.7661538461538463,0.344017094017094,0.8899572649572649,0.5491452991452992,0.75,0.5,9_6,0.0,0.717948717948718
9,Idazoxan,80,0.7661538461538463,0.344017094017094,0.8899572649572649,0.5491452991452992,0.75,0.5,9_7,1.0,0.7948717948717948
10,Idazoxan,80,0.7661538461538463,0.344017094017094,0.8899572649572649,0.5491452991452992,0.75,0.5,9_8,0.0,0.8717948717948718
11,Idazoxan,80,0.7661538461538463,0.344017094017094,0.8899572649572649,0.5491452991452992,0.75,0.5,9_9,1.0,0.9487179487179487
0,Idazoxan,F3,0.8148717948717948,0.532051282051282,0.8824786324786325,0.03205128205128205,0.75,0.5,9_1,0.0,0.0
1,Idazoxan,F3,0.8148717948717948,0.532051282051282,0.8824786324786325,0.03205128205128205,0.75,0.5,9_10,1.0,0.0
2,Idazoxan,F3,0.8148717948717948,0.532051282051282,0.8824786324786325,0.03205128205128205,0.75,0.5,9_11,0.0,0.0
3,Idazoxan,F3,0.8148717948717948,0.532051282051282,0.8824786324786325,0.03205128205128205,0.75,0.5,9_12,1.0,0.0
4,Idazoxan,F3,0.8148717948717948,0.532051282051282,0.8824786324786325,0.03205128205128205,0.75,0.5,9_2,1.0,0.0
5,Idazoxan,F3,0.8148717948717948,0.532051282051282,0.8824786324786325,0.03205128205128205,0.75,0.5,9_3,0.0,0.0
6,Idazoxan,F3,0.8148717948717948,0.532051282051282,0.8824786324786325,0.03205128205128205,0.75,0.5,9_4,1.0,0.38461538461538464
7,Idazoxan,F3,0.8148717948717948,0.532051282051282,0.8824786324786325,0.03205128205128205,0.75,0.5,9_5,0.0,0.0
8,Idazoxan,F3,0.8148717948717948,0.532051282051282,0.8824786324786325,0.03205128205128205,0.75,0.5,9_6,0.0,0.0
9,Idazoxan,F3,0.8148717948717948,0.532051282051282,0.8824786324786325,0.03205128205128205,0.75,0.5,9_7,1.0,0.0
10,Idazoxan,F3,0.8148717948717948,0.532051282051282,0.8824786324786325,0.03205128205128205,0.75,0.5,9_8,1.0,0.0
11,Idazoxan,F3,0.8148717948717948,0.532051282051282,0.8824786324786325,0.03205128205128205,0.75,0.5,9_9,0.0,0.0
0,Clonidine,50,0.8646153846153848,0.3547008547008547,0.6848290598290598,0.5683760683760684,0.7083333333333334,0.5,9_1,0.0,0.0
1,Clonidine,50,0.8646153846153848,0.3547008547008547,0.6848290598290598,0.5683760683760684,0.7083333333333334,0.5,9_10,0.0,1.0
2,Clonidine,50,0.8646153846153848,0.3547008547008547,0.6848290598290598,0.5683760683760684,0.7083333333333334,0.5,9_11,1.0,1.0
3,Clonidine,50,0.8646153846153848,0.3547008547008547,0.6848290598290598,0.5683760683760684,0.7083333333333334,0.5,9_12,1.0,1.0
4,Clonidine,50,0.8646153846153848,0.3547008547008547,0.6848290598290598,0.5683760683760684,0.7083333333333334,0.5,9_2,1.0,0.0
